step,source,val/pass@1,val/avg@1,val/math500_first50/pass@1,val/aime24/pass@1,val/aime25/pass@1,episode/reward/mean,graphcredit/node_reward_mean,graphcredit/solver_node_reward_mean,graphcredit/verifier_node_reward_mean,critic/Qwen3-4B_Solver Agent/rewards/mean,critic/Qwen3-4B_Verifier Agent/rewards/mean,response_length/mean,prompt_length/mean,perf/throughput,perf/time_per_step
166,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.125,0.031,0.062,0.0,0.053,0.0,686.641,705.766,235.615,47.277
167,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.562,0.141,0.251,0.03,0.251,0.03,647.984,724.625,326.678,33.614
168,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.438,0.109,0.182,0.037,0.182,0.037,534.359,605.266,220.241,41.396
169,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.5,0.125,0.209,0.041,0.203,0.041,526.422,753.078,221.224,46.27
170,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.375,0.094,0.146,0.041,0.146,0.035,471.625,548.875,231.483,35.268
171,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.25,0.062,0.106,0.019,0.106,0.019,572.594,731.484,310.681,33.58
172,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.375,0.094,0.155,0.033,0.155,0.033,682.688,782.188,271.112,43.226
173,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.562,0.141,0.202,0.08,0.202,0.08,515.375,600.125,292.187,30.542
174,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.5,0.125,0.179,0.071,0.179,0.071,423.062,572.312,305.962,26.026
175,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.625,0.156,0.239,0.074,0.232,0.074,584.078,909.516,188.957,63.235
176,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.312,0.078,0.123,0.033,0.117,0.033,660.422,817.25,222.048,53.238
177,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.312,0.078,0.14,0.017,0.137,0.017,636.75,700.266,278.225,38.444
178,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.375,0.094,0.16,0.028,0.147,0.028,697.547,883.109,277.154,45.625
179,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.562,0.141,0.199,0.082,0.199,0.082,488.438,753.547,224.824,44.194
180,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.562,0.141,0.212,0.069,0.212,0.063,562.406,700.844,276.514,36.548
181,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.375,0.094,0.131,0.057,0.128,0.057,720.422,760.094,238.081,49.748
182,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.5,0.125,0.202,0.048,0.202,0.048,648.734,667.234,223.91,47.018
183,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.375,0.094,0.14,0.047,0.14,0.047,790.594,1053.453,302.435,48.779
184,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.5,0.125,0.206,0.044,0.206,0.044,640.234,842.781,320.188,37.054
185,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.375,0.094,0.148,0.04,0.148,0.04,721.625,922.516,287.995,45.671
186,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.438,0.109,0.164,0.055,0.164,0.055,710.922,824.312,249.754,49.176
187,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.188,0.047,0.063,0.03,0.06,0.03,760.312,1039.531,284.799,50.558
188,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.125,0.031,0.052,0.011,0.036,0.005,894.578,1177.953,255.12,64.99
189,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.25,0.062,0.081,0.044,0.072,0.044,891.891,1160.578,248.744,66.011
190,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.688,0.172,0.242,0.102,0.242,0.102,753.969,838.281,217.354,58.605
191,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.375,0.094,0.138,0.049,0.135,0.049,643.531,876.734,218.238,55.729
192,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.375,0.094,0.135,0.053,0.129,0.053,954.297,1066.484,269.417,60.004
193,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.625,0.156,0.216,0.096,0.213,0.096,666.766,937.094,226.261,56.708
194,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.5,0.125,0.166,0.084,0.157,0.084,974.578,1340.406,335.797,55.152
195,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.75,0.188,0.27,0.105,0.251,0.105,964.109,1014.109,223.839,70.701
196,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.438,0.109,0.165,0.054,0.162,0.054,910.016,1633.234,372.754,54.583
197,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.562,0.141,0.221,0.06,0.202,0.06,898.719,1118.609,253.464,63.672
198,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.25,0.062,0.081,0.044,0.075,0.044,963.578,1213.938,286.009,60.908
199,train_graphcredit_math_v10_nonsharing_solver_verifier.log,,,,,,0.625,0.156,0.236,0.077,0.229,0.077,630.25,896.453,196.422,62.181
200,train_graphcredit_math_v10_nonsharing_solver_verifier.log,0.436,0.436,0.72,0.2,0.2,0.688,0.172,0.231,0.112,0.231,0.112,552.938,689.906,17.427,570.549
201,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.5,0.125,0.187,0.063,0.178,0.063,788.078,1251.812,281.924,57.885
202,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.375,0.094,0.135,0.052,0.135,0.052,848.891,994.0,415.124,35.515
203,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.438,0.109,0.168,0.051,0.158,0.045,961.609,1222.062,267.427,65.324
204,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.625,0.156,0.266,0.047,0.266,0.047,689.547,1059.094,295.598,47.325
205,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.25,0.062,0.093,0.032,0.083,0.032,917.922,1248.734,271.54,63.833
206,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.438,0.109,0.16,0.059,0.154,0.059,668.078,859.703,235.371,51.928
207,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.375,0.094,0.138,0.05,0.138,0.043,696.422,872.016,348.55,35.999
208,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.25,0.062,0.086,0.039,0.067,0.039,1220.656,1552.859,346.933,63.955
209,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.438,0.109,0.157,0.062,0.157,0.062,856.031,1169.75,365.256,44.37
210,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.125,0.031,0.043,0.019,0.04,0.019,910.516,1356.688,366.673,49.465
211,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.125,0.031,0.062,0.0,0.059,0.0,1093.281,1282.859,289.377,65.69
212,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.438,0.109,0.15,0.069,0.144,0.069,857.531,1349.734,298.73,59.111
213,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.5,0.125,0.177,0.073,0.177,0.073,544.359,607.547,273.01,33.754
214,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.25,0.062,0.084,0.041,0.084,0.041,969.375,1245.078,301.904,58.68
215,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.438,0.109,0.151,0.068,0.144,0.068,967.969,1105.094,327.99,50.564
216,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.375,0.094,0.122,0.066,0.122,0.066,794.203,1120.969,390.888,39.196
217,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.562,0.141,0.197,0.084,0.197,0.084,594.453,820.281,255.651,44.271
218,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.188,0.047,0.066,0.028,0.066,0.028,783.906,920.359,324.138,42.063
219,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.375,0.094,0.129,0.059,0.129,0.059,775.25,820.938,321.886,39.671
220,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.625,0.156,0.249,0.063,0.249,0.063,658.844,735.797,302.628,36.868
221,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.625,0.156,0.22,0.092,0.22,0.092,678.406,775.75,334.983,34.728
222,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.75,0.188,0.271,0.104,0.258,0.104,881.453,1078.188,252.191,62.164
223,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.5,0.125,0.169,0.081,0.169,0.081,776.438,892.578,274.736,48.6
224,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.625,0.156,0.221,0.091,0.221,0.091,876.484,1232.453,303.528,55.585
225,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.375,0.094,0.129,0.059,0.129,0.059,786.922,1058.25,354.006,41.698
226,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.375,0.094,0.127,0.06,0.127,0.06,808.562,994.891,306.622,47.053
227,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.438,0.109,0.153,0.066,0.153,0.066,602.0,745.406,255.099,42.255
228,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.562,0.141,0.195,0.086,0.195,0.086,668.984,1006.812,338.321,39.626
229,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.188,0.047,0.062,0.032,0.062,0.032,758.531,888.516,269.428,48.905
230,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.562,0.141,0.194,0.088,0.187,0.088,827.203,1034.125,233.765,63.699
231,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.312,0.078,0.106,0.051,0.106,0.051,796.141,861.312,271.131,48.905
232,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.625,0.156,0.224,0.089,0.224,0.089,456.781,530.219,319.082,24.746
233,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.75,0.188,0.252,0.123,0.252,0.123,667.094,850.312,292.698,41.474
234,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.5,0.125,0.18,0.07,0.18,0.07,632.719,666.406,299.935,34.651
235,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.312,0.078,0.125,0.031,0.119,0.031,947.328,1070.047,280.665,57.503
236,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.25,0.062,0.092,0.033,0.089,0.033,717.219,870.312,249.089,50.987
237,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.562,0.141,0.199,0.083,0.199,0.083,828.109,887.953,276.452,49.66
238,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.438,0.109,0.153,0.066,0.15,0.066,758.281,821.266,217.1,58.205
239,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.375,0.094,0.139,0.048,0.133,0.048,709.328,853.781,225.098,55.553
240,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.438,0.109,0.167,0.052,0.167,0.052,725.469,910.062,344.986,37.927
241,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.438,0.109,0.146,0.072,0.146,0.072,761.125,962.938,294.01,46.912
242,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.312,0.078,0.116,0.04,0.116,0.04,839.219,1084.656,276.483,55.667
243,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.625,0.156,0.233,0.079,0.233,0.079,765.281,797.219,213.811,58.463
244,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.625,0.156,0.234,0.079,0.234,0.079,592.031,737.766,259.822,40.945
245,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.5,0.125,0.176,0.074,0.176,0.074,639.453,804.172,238.13,48.499
246,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.625,0.156,0.244,0.069,0.238,0.069,621.844,764.031,207.081,53.539
247,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.5,0.125,0.186,0.064,0.186,0.064,593.297,745.625,315.886,33.909
248,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.562,0.141,0.207,0.074,0.207,0.074,605.828,815.062,255.629,44.467
249,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.5,0.125,0.208,0.042,0.202,0.042,660.234,724.312,222.423,49.799
250,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,0.391,0.391,0.7,0.167,0.1,0.375,0.094,0.157,0.03,0.157,0.024,656.609,942.469,33.049,387.086
251,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.5,0.125,0.225,0.025,0.225,0.025,397.641,467.125,322.298,21.465
252,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.562,0.141,0.199,0.082,0.199,0.082,428.328,538.641,313.408,24.683
253,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.25,0.062,0.106,0.019,0.106,0.019,518.594,570.719,268.689,32.433
254,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.312,0.078,0.115,0.041,0.115,0.035,450.578,496.609,303.009,25.007
255,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.25,0.062,0.095,0.03,0.095,0.03,492.203,502.969,230.455,34.546
256,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.438,0.109,0.178,0.041,0.178,0.041,532.281,628.188,286.707,32.381
257,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.25,0.062,0.092,0.033,0.092,0.033,454.703,509.531,268.11,28.771
258,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.25,0.062,0.087,0.038,0.087,0.038,578.234,694.531,247.391,41.158
259,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.562,0.141,0.205,0.076,0.205,0.076,410.938,486.422,233.74,30.713
260,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.25,0.062,0.114,0.011,0.114,0.011,505.359,544.5,223.816,37.526
261,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.312,0.078,0.107,0.049,0.107,0.049,501.609,540.312,270.501,30.815
262,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.438,0.109,0.153,0.066,0.153,0.066,504.703,572.469,287.901,29.932
263,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.125,0.031,0.062,0.0,0.062,0.0,615.672,674.406,268.173,38.485
264,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.438,0.109,0.172,0.047,0.172,0.04,680.859,807.219,224.849,52.945
265,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.375,0.094,0.132,0.055,0.132,0.055,510.375,706.078,276.568,35.187
266,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.438,0.109,0.153,0.066,0.153,0.066,431.891,513.859,290.237,26.068
267,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.25,0.062,0.093,0.032,0.093,0.032,669.672,936.391,357.848,35.905
268,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.5,0.125,0.179,0.071,0.179,0.071,610.953,804.906,369.228,30.677
269,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.188,0.047,0.075,0.019,0.068,0.019,885.547,1183.422,270.871,61.106
270,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.562,0.141,0.196,0.085,0.196,0.085,602.344,802.75,303.249,37.068
271,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.562,0.141,0.204,0.077,0.198,0.077,728.844,761.781,233.107,51.157
272,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.625,0.156,0.244,0.069,0.241,0.069,667.344,1007.391,283.47,47.264
273,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.5,0.125,0.184,0.066,0.184,0.066,341.172,401.25,248.428,23.908
274,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.375,0.094,0.131,0.056,0.128,0.056,751.859,1173.141,311.005,49.517
275,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.5,0.125,0.19,0.06,0.187,0.06,768.531,1107.266,291.444,51.49
276,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.562,0.141,0.201,0.08,0.201,0.08,524.406,588.047,287.959,30.906
277,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.062,0.016,0.02,0.011,0.02,0.011,890.156,1070.391,235.677,66.55
278,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.438,0.109,0.186,0.033,0.186,0.033,585.109,725.641,271.879,38.569
279,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.5,0.125,0.188,0.062,0.182,0.062,865.688,1170.312,252.278,64.564
280,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.438,0.109,0.151,0.068,0.151,0.068,859.812,1095.312,348.061,44.938
281,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.625,0.156,0.236,0.076,0.236,0.076,612.156,834.594,238.215,48.586
282,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.5,0.125,0.177,0.073,0.177,0.073,557.438,580.328,277.386,32.814
283,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.438,0.109,0.164,0.055,0.164,0.055,589.859,916.703,293.295,41.093
284,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.562,0.141,0.201,0.081,0.194,0.081,772.922,1001.547,236.332,60.067
285,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.312,0.078,0.114,0.042,0.095,0.042,1037.25,1382.516,306.325,63.195
286,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.438,0.109,0.15,0.069,0.147,0.069,894.0,1277.188,286.419,60.644
287,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.562,0.141,0.19,0.091,0.19,0.085,683.406,801.703,287.514,41.323
288,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.25,0.062,0.097,0.028,0.09,0.028,682.172,851.797,216.947,56.566
289,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.375,0.094,0.129,0.059,0.126,0.059,654.047,860.172,243.641,49.72
290,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.5,0.125,0.192,0.058,0.186,0.058,1082.078,1333.906,321.198,60.174
291,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.375,0.094,0.157,0.03,0.154,0.03,951.094,1267.344,304.382,58.307
292,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.438,0.109,0.153,0.066,0.153,0.066,820.375,958.938,227.533,62.56
293,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.562,0.141,0.193,0.089,0.186,0.082,783.438,873.766,237.59,55.8
294,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.562,0.141,0.201,0.08,0.201,0.08,713.359,965.609,358.121,37.506
295,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.438,0.109,0.146,0.073,0.139,0.073,826.281,1064.406,247.52,61.108
296,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.25,0.062,0.098,0.027,0.082,0.021,958.5,1349.203,318.778,57.914
297,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.625,0.156,0.224,0.088,0.218,0.088,781.266,1092.609,283.839,52.815
298,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.688,0.172,0.244,0.1,0.244,0.1,810.984,1055.141,293.267,50.906
299,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.438,0.109,0.151,0.068,0.144,0.068,948.672,1255.469,349.59,50.439
300,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,0.464,0.464,0.8,0.167,0.2,0.312,0.078,0.107,0.049,0.095,0.049,1000.547,1164.719,30.644,565.27
301,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.688,0.172,0.246,0.098,0.246,0.098,773.281,854.297,205.834,63.258
302,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.312,0.078,0.118,0.039,0.111,0.039,790.75,1189.578,265.339,59.707
303,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.562,0.141,0.197,0.085,0.197,0.085,700.203,743.094,368.083,31.369
304,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.438,0.109,0.161,0.057,0.152,0.057,923.594,1157.859,257.061,64.777
305,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.375,0.094,0.138,0.049,0.132,0.049,910.141,1182.297,302.009,55.427
306,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.562,0.141,0.202,0.079,0.202,0.079,1103.766,1223.234,300.539,61.942
307,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.5,0.125,0.174,0.076,0.174,0.076,831.766,1047.922,347.443,43.28
308,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.562,0.141,0.188,0.093,0.182,0.093,1047.625,1459.625,301.296,66.572
309,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.375,0.094,0.128,0.06,0.118,0.06,1047.172,1387.594,345.742,56.337
310,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.375,0.094,0.135,0.052,0.126,0.052,1137.031,1514.312,315.245,67.283
311,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.688,0.172,0.242,0.102,0.23,0.102,883.641,1225.312,282.941,59.63
312,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.5,0.125,0.184,0.066,0.174,0.066,1006.625,1319.234,347.958,53.475
313,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.625,0.156,0.213,0.099,0.207,0.099,917.172,1240.469,301.954,57.165
314,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.688,0.172,0.238,0.106,0.238,0.106,993.047,1167.766,330.551,52.296
315,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.562,0.141,0.186,0.095,0.186,0.095,931.891,1303.266,338.696,52.794
316,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.5,0.125,0.193,0.057,0.187,0.05,830.859,1363.938,331.96,52.893
317,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.875,0.219,0.306,0.131,0.306,0.131,846.656,1149.891,322.256,49.564
318,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.5,0.125,0.169,0.081,0.169,0.081,1079.547,1631.391,456.052,47.555
319,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.625,0.156,0.233,0.079,0.224,0.079,1075.438,1490.562,343.771,59.714
320,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.5,0.125,0.183,0.067,0.183,0.067,934.062,1116.016,315.949,51.909
321,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.188,0.047,0.064,0.029,0.058,0.029,1085.641,1490.359,354.622,58.113
322,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.5,0.125,0.172,0.078,0.172,0.078,1100.516,1541.656,398.468,53.047
323,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.375,0.094,0.129,0.059,0.123,0.059,1073.328,1322.797,331.134,57.889
324,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.562,0.141,0.202,0.08,0.195,0.08,954.891,1700.219,336.779,63.071
325,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.562,0.141,0.198,0.083,0.185,0.083,1012.953,1301.891,300.439,61.639
326,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.688,0.172,0.239,0.105,0.239,0.105,701.5,755.719,432.544,26.952
327,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.562,0.141,0.196,0.085,0.184,0.085,1027.516,1255.766,346.135,52.772
328,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.625,0.156,0.217,0.096,0.217,0.096,636.281,823.938,233.574,50.013
329,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.375,0.094,0.139,0.048,0.139,0.048,976.078,1364.078,395.451,47.341
330,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.062,0.016,0.02,0.011,0.02,0.011,1121.312,1474.031,414.12,50.137
331,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.438,0.109,0.153,0.066,0.134,0.066,1017.016,1144.109,265.128,65.21
332,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.625,0.156,0.227,0.085,0.227,0.085,667.0,748.984,195.979,57.801
333,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.375,0.094,0.129,0.059,0.129,0.059,884.516,1233.625,327.284,51.775
334,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.438,0.109,0.151,0.067,0.145,0.067,1061.031,1282.125,344.572,54.402
335,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.312,0.078,0.121,0.035,0.121,0.035,931.406,1213.016,363.301,47.221
336,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.688,0.172,0.262,0.081,0.262,0.081,842.625,1018.766,328.957,45.268
337,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.25,0.062,0.081,0.044,0.075,0.044,1125.656,1636.578,338.2,65.34
338,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.562,0.141,0.213,0.069,0.213,0.069,744.938,1040.484,252.391,56.592
339,train_graphcredit_math_v10_nonsharing_solver_verifier_resume200.log,,,,,,0.438,0.109,0.146,0.073,0.146,0.073,875.75,1175.828,381.51,43.02
